timestamp,gaze_x,gaze_y,pupil_x,pupil_y,glint1_x,glint1_y,glint2_x,glint2_y
2025-05-21 14:40:53.033333,900,584,145.2863006591797,271.96478271484375,184,297,213,297
2025-05-21 14:40:53.066667,900,584,148.6605987548828,297.7509765625,186,313,217,312
2025-05-21 14:40:53.100000,900,584,151.01951599121094,342.2630615234375,187,335,221,335
2025-05-21 14:40:53.133333,900,584,148.6381378173828,342.64984130859375,186,334,220,334
2025-05-21 14:40:53.166667,900,584,134.81930541992188,305.970947265625,186,334,219,333
2025-05-21 14:40:53.200000,900,584,150.1192626953125,339.5643005371094,186,334,219,333
2025-05-21 14:40:53.233333,900,584,149.43003845214844,339.85577392578125,185,333,219,333
2025-05-21 14:40:53.266667,900,584,155.9088592529297,307.38055419921875,189,317,222,317
2025-05-21 14:40:53.300000,900,584,160.50965881347656,263.4317932128906,196,295,228,295
2025-05-21 14:40:53.333333,900,584,160.96539306640625,264.743896484375,195,294,227,294
2025-05-21 14:40:53.366667,900,584,162.41061401367188,264.2431640625,194,294,227,294
2025-05-21 14:40:53.400000,900,584,163.79617309570312,264.3519287109375,194,294,226,293
2025-05-21 14:40:53.433333,900,584,162.5020751953125,264.32806396484375,194,293,226,293
2025-05-21 14:40:53.466667,900,584,158.363525390625,264.76318359375,193,294,226,293
2025-05-21 14:40:53.500000,900,584,158.8325958251953,264.07806396484375,193,294,226,293
2025-05-21 14:40:53.533333,900,584,156.60186767578125,266.2122497558594,190,295,221,295
2025-05-21 14:40:53.566667,900,584,146.1212921142578,271.6302795410156,185,298,215,297
2025-05-21 14:40:53.600000,900,584,144.9700469970703,270.19110107421875,185,297,215,295
2025-05-21 14:40:53.633333,900,584,147.31976318359375,270.41619873046875,185,297,215,295
2025-05-21 14:40:53.666667,900,584,146.88302612304688,270.3800964355469,185,297,214,295
2025-05-21 14:40:53.700000,900,584,145.50146484375,269.9833068847656,185,296,214,296
2025-05-21 14:40:53.733333,900,584,145.7044677734375,269.84967041015625,185,296,215,296
2025-05-21 14:40:53.766667,900,584,145.10638427734375,270.0115661621094,185,296,214,296
2025-05-21 14:40:53.800000,900,584,145.5271759033203,269.8338317871094,185,297,215,296
2025-05-21 14:40:53.833333,900,584,144.55908203125,270.20233154296875,185,297,215,296
2025-05-21 14:40:53.866667,900,584,145.65237426757812,269.9769287109375,185,297,214,296
2025-05-21 14:40:53.900000,900,584,146.7329864501953,270.73797607421875,185,297,214,296
2025-05-21 14:40:53.933333,900,584,145.7971649169922,270.7100830078125,186,297,217,297
2025-05-21 14:40:53.966667,900,584,170.95791625976562,270.36688232421875,200,298,232,297
2025-05-21 14:40:56.033333,360,233,167.21218872070312,269.44476318359375,197,297,230,296
2025-05-21 14:40:56.066667,360,233,159.05523681640625,247.84750366210938,193,286,219,284
2025-05-21 14:40:56.100000,360,233,159.06968688964844,247.11373901367188,193,285,220,283
2025-05-21 14:40:56.133333,360,233,158.3674774169922,245.85818481445312,192,285,219,282
2025-05-21 14:40:56.166667,360,233,152.23985290527344,246.78604125976562,192,284,219,281
2025-05-21 14:40:56.200000,360,233,158.78875732421875,244.8421173095703,192,283,219,281
2025-05-21 14:40:56.233333,360,233,157.392822265625,244.98919677734375,192,283,218,280
2025-05-21 14:40:56.266667,360,233,157.23785400390625,244.39944458007812,192,283,217,280
2025-05-21 14:40:56.300000,360,233,157.38973999023438,243.9718017578125,192,283,217,280
2025-05-21 14:40:56.333333,360,233,157.42527770996094,243.88487243652344,192,283,217,280
2025-05-21 14:40:56.366667,360,233,156.41091918945312,244.0054473876953,191,282,217,280
